Year,Time,fleet_start,fleet_finish,Time_record
1945,6.598611111,9,8,6.598611111
1946,5.120138889,19,11,5.120138889
1947,5.127083333,28,21,5.120138889
1948,4.209027778,18,13,4.209027778
1949,5.439583333,15,13,4.209027778
1950,5.227777778,16,14,4.209027778
1951,4.103472222,14,12,4.103472222
1952,6.106944444,17,17,4.103472222
1953,5.3,24,20,4.103472222
1954,5.25625,17,15,4.103472222
1955,4.759027778,17,16,4.103472222
1956,4.188194444,28,26,4.103472222
1957,3.770833333,20,18,3.770833333
1958,5.105555556,22,19,3.770833333
1959,4.564583333,30,24,3.770833333
1960,4.340972222,32,30,3.770833333
1961,4.195833333,35,33,3.770833333
1962,3.159027778,42,40,3.159027778
1963,4.453472222,44,34,3.159027778
1964,3.836805556,38,31,3.159027778
1965,3.854166667,53,49,3.159027778
1966,4.360416667,46,44,3.159027778
1967,4.173611111,66,59,3.159027778
1968,4.138888889,67,54,3.159027778
1969,3.629861111,79,75,3.159027778
1970,3.5875,61,47,3.159027778
1971,3.531944444,79,76,3.159027778
1972,3.195833333,79,75,3.159027778
1973,3.063888889,92,92,3.063888889
1974,3.577083333,63,58,3.063888889
1975,2.608333333,102,99,2.608333333
1976,3.332638889,85,70,2.608333333
1977,3.426388889,131,72,2.608333333
1978,4.099305556,97,87,2.608333333
1979,3.072916667,147,142,2.608333333
1980,2.78125,102,93,2.608333333
1981,3.9375,159,144,2.608333333
1982,3.040972222,118,108,2.608333333
1983,3.034722222,173,158,2.608333333
1984,3.479861111,151,46,2.608333333
1985,3.188888889,179,146,2.608333333
1986,2.976388889,123,106,2.608333333
1987,2.915277778,154,146,2.608333333
1988,3.645138889,119,81,2.608333333
1989,3.264583333,126,101,2.608333333
1990,2.878472222,105,86,2.608333333
1991,3.468055556,99,91,2.608333333
1992,2.804861111,110,102,2.608333333
1993,4.0375,104,38,2.608333333
1994,2.7,371,309,2.608333333
1995,3.036805556,98,92,2.608333333
1996,2.588194444,95,77,2.588194444
1997,2.984027778,114,99,2.588194444
1998,2.79375,115,44,2.588194444
1999,1.825,79,49,1.825
2000,2.584722222,82,58,1.825
2001,2.865277778,75,57,1.825
2002,2.206944444,57,55,1.825
2003,2.634722222,56,52,1.825
2004,2.666666667,116,59,1.825
2005,1.777777778,85,80,1.777777778
2006,2.369444444,78,69,1.777777778
2007,1.891666667,82,79,1.777777778
2008,1.856944444,100,92,1.777777778
2009,2.376388889,100,94,1.777777778
2010,2.317361111,87,69,1.777777778
2011,2.259722222,88,76,1.777777778
2012,1.765972222,76,71,1.765972222
2013,2.254861111,94,84,1.765972222
2014,2.104166667,117,103,1.765972222
2015,2.373611111,108,77,1.765972222
2016,1.563194444,88,83,1.563194444
